AUID,Last,First,Ethnea,Genni,PubCountry
17474080_2,_Sung_Jung_,_Kyu_,KOREAN,-,Korea
17736634_1,_Davies_,_Geoffrey_,ENGLISH,M,Australia
17867321_1,_Davies_,_Grant_,ENGLISH,M,Australia
17316117_3,_Tsuchiya_,_Toshiko_,JAPANESE,F,Japan
18798193_4,_Tsuchiya_,_Tsuchiya_,JAPANESE,-,Japan
1957327_2,_Tsuchiya_,_toshie_,JAPANESE,F,Japan
9952610_2,_Klein_,_abraham_,ISRAELI,M,USA
15209370_2,_Klein_,_Audrey_,FRENCH,F,USA
3336646_4,_Klein_,_alan_,ENGLISH,M,USA
9793843_1,_Lim_,_Kelvin_,CHINESE,M,UK
16515119_1,_Yuee_Lim_,_Kin_Yuee_,CHINESE,F,Malaysia
9662604_3,_Becker_,_wolfgang_,GERMAN,M,Austria
7714616_6,_Becker_,_wolfgang_,GERMAN,M,Canada
10036616_1,_Asano_,_Takeshi_,JAPANESE,M,Japan
15081028_1,_Asano_,_Toru_,JAPANESE,M,Japan
17735703_4,_Parker_,_Charles_,ENGLISH,M,USA
12744772_2,_Watson_,_Carrie_,ENGLISH,F,Canada
11443038_1,_Watson_,_Christopher_,ENGLISH,M,UK
18354132_2,_Watson_,_Clarence_,ENGLISH,M,USA
12911334_1,_Ferreira_,_Antonio_,HISPANIC,M,Portugal
12059614_1,_Ferreira_,_Anderson_,HISPANIC,M,Brazil
18944292_2,_Simon_,_reinhard_,GERMAN,M,USA
3427310_1,_May_,_jon_,ENGLISH,M,UK
7143513_1,_Cooper_,_Graham_,ENGLISH,M,UK
12821454_7,_Ward_,_Steve_,ENGLISH,M,Kenya
18312921_1,_Thomas_Ward_,_Stephen_,ENGLISH,M,UK
10435169_1,_Ward_,_simon_,ENGLISH,M,UK
1446095_1,_Ward_,_sally_,ENGLISH,F,UK
15719549_2,_Moore_,_Brian_,ENGLISH,M,USA
9356013_2,_He_,_Zhibin_,CHINESE,M,USA
2512944_2,_He_,_Zai_an_,CHINESE,-,China
15256125_5,_He_,_Zhi_li_,CHINESE,-,China
15057273_1,_Koch_,_Michael_,GERMAN,M,UK
11166491_3,_Koch_,_markus_,GERMAN,M,Germany
16409588_2,_Koch_,_Martha_,GERMAN,F,USA
16754721_6,_Koch_,_Manuel_,GERMAN,M,Germany
10082669_4,_Shimada_,_Miho_,JAPANESE,F,Japan
2240909_1,_Agarwal_,_Anita_,INDIAN,F,India
17538181_1,_Agarwal_,_Archana_,INDIAN,F,USA
11928006_2,_Agarwal_,_Ayush_,INDIAN,M,India
1562845_1,_Yamada_,_Naoto_,JAPANESE,M,Japan
7487991_10,_Yamada_,_nobuhiro_,JAPANESE,M,Japan
14663139_4,_Fan_,_Yunxia_,CHINESE,-,USA
12502445_3,_Fan_,_Yu_,CHINESE,-,China
17561867_7,_Fan_,_Ya_Han_,CHINESE,-,China
19134278_1,_FAN_,_Yuan_qiao_,CHINESE,M,China
15729007_1,_Goto_,_Kazunori_,JAPANESE,M,Japan
14512203_3,_Goto_,_Kazuhito_,JAPANESE,M,Japan
11825734_2,_Lim_,_Hou_Sen_,CHINESE,M,USA
12088974_2,_Lim_,_Huey_,CHINESE,M,HongKong
17920232_6,_Lim_,_Hyun_Dae_,KOREAN,-,Korea
16404485_1,_Lim_,_Hacgyu_,KOREAN,-,Korea
747733_5,_Shibata_,_sumio_,JAPANESE,M,Japan
9558824_5,_Shibata_,_sadao_,JAPANESE,M,Japan
12146537_3,_Wolf_,_MaryAnn_,ENGLISH,F,USA
18690123_3,_Hughes_,_Douglas_,ENGLISH,M,USA
12884738_3,_Hasegawa_,_Yuzuri_,JAPANESE,-,Japan
15696791_6,_Cheng_,_Kai_Hung_,CHINESE,M,Taiwan
15255525_2,_Cheng_,_Kuang_Ming_,CHINESE,-,Taiwan
11810263_2,_Nielsen_,_henrik_,NORDIC,M,Denmark
16562101_1,_Nielsen_,_HARRY_,NORDIC,M,USA
18649843_8,_Torres_,_antonio_,HISPANIC,M,Cuba
8247352_2,_Torres_,_arelis_,HISPANIC,F,Venezuela
16926997_1,_Candido_Torres_,_Analuiza_,HISPANIC,F,Brazil
2400310_4,_Tan_,_claire_,ENGLISH,F,USA
17111176_2,_Tan_,_Chung_Wei_,CHINESE,-,Canada
9107579_3,_Nagata_,_Kisaburo_,JAPANESE,M,Japan
11784839_1,_Ghosh_,_Amitabha_,INDIAN,M,UK
10813926_1,_Arai_,_Yoshitsugu_,JAPANESE,M,Japan
16164600_3,_Arai_,_Yoko_,JAPANESE,F,Japan
12591729_8,_Arai_,_Yoichi_,JAPANESE,M,Canada
10030748_4,_Arai_,_yasuaki_,JAPANESE,M,Japan
1753524_4,_Yamazaki_,_Mineo_,JAPANESE,M,Japan
7217246_4,_Yamazaki_,_mikio_,JAPANESE,M,Japan
7192141_3,_Yamazaki_,_Masahiro_,JAPANESE,M,Japan
11694073_1,_Yamazaki_,_Mutsuo_,JAPANESE,M,Japan
19336991_2,_Yamazaki_,_Mikako_,JAPANESE,F,Japan
16973909_3,_Allen_,_Scott_,ENGLISH,M,USA
7734479_1,_Allen_,_susan_,ENGLISH,F,USA
12845738_3,_He_,_Liping_,CHINESE,F,China
2119955_3,_He_,_Lian_Qi_,CHINESE,-,China
6542616_1,_Gonzalez_,_rogelio_,HISPANIC,M,Spain
17854860_4,_Johnston_,_Dawn_,ENGLISH,F,Canada
17652154_1,_Hsu_,_Shih_Han_,CHINESE,-,Taiwan
3779651_1,_Chan_,_Po_Chuen_,CHINESE,-,USA
11499523_1,_Yao_,_Jun_,CHINESE,-,HongKong
14500147_1,_Wong_,_Theodore_,ENGLISH,M,USA
19341272_2,_Wong_,_Tim_,ENGLISH,M,HongKong
18171255_16,_Gordon_,_David_,ENGLISH,M,Australia
8865022_2,_Buus_Andersen_,_Jacob_,NORDIC,M,Denmark
15847800_4,_Terje_Andersen_,_Jan_,NORDIC,M,Norway
2823261_5,_Chan_,_hui_woong_,CHINESE,M,USA
7927884_1,_Uchida_,_takafumi_,JAPANESE,M,Japan
14586538_3,_Uchida_,_Tomoko_,JAPANESE,F,Japan
10191184_3,_Uchida_,_toshikazu_,JAPANESE,M,Japan
7517914_7,_Uchida_,_takafumi_,JAPANESE,M,Italy
7684924_4,_Uchida_,_tsuneko_,JAPANESE,F,USA
18460077_1,_Henderson_,_Julie_,ENGLISH,F,Australia
1785680_2,_Henderson_,_joseph_,ENGLISH,M,USA
9145494_8,_Henderson_,_John_,ENGLISH,M,USA
18024588_1,_Henderson_,_John_,ENGLISH,M,USA
19327534_1,_Henderson_,_John_,ENGLISH,M,UK
3278955_4,_Olsen_,_jorgen_,NORDIC,M,Denmark
16656995_1,_Fischer_,_roland_,GERMAN,M,USA
2763294_1,_Fischer_,_Andrea_,GERMAN,F,Germany
9446455_1,_Fischer_,_Andreas_,GERMAN,M,Germany
11555439_2,_Fischer_,_andreas_,GERMAN,M,Germany
11259033_4,_Davies_,_Antony_,ENGLISH,M,UK
7930915_1,_Davies_,_andrew_,ENGLISH,M,UK
17884346_5,_Davies_,_Audra_,ENGLISH,F,USA
18937469_5,_Yang_,_Kaikun_,CHINESE,-,USA
15981045_2,_Gupta_,_Manish_,INDIAN,M,India
12143246_6,_Wada_,_Takahiro_,JAPANESE,M,Japan
6452517_2,_Miyazaki_,_masaru_,JAPANESE,M,Japan
9445472_1,_Fisher_,_david_,ENGLISH,M,Canada
8407403_9,_Schwartz_,_david_,ENGLISH,M,USA
16028775_3,_Schwartz_,_David_,ENGLISH,M,USA
17363197_5,_Schwartz_,_Dorit_,ISRAELI,F,Israel
12098385_4,_Bhattacharya_,_Soumya_,INDIAN,-,Nepal
18418448_7,_Bhattacharya_,_Swapan_,INDIAN,M,India
9960625_2,_Hu_,_Zhibing_,CHINESE,-,USA
11828124_3,_Hu_,_Zi_Qiang_,CHINESE,M,China
18249418_2,_Hu_,_Zhijing_,CHINESE,-,China
18554789_3,_Hu_,_Zhongyu_,CHINESE,M,China
10519452_1,_Banerjee_,_Suman_,INDIAN,-,USA
8081864_1,_Banerjee_,_sharmila_,INDIAN,F,India
1565164_1,_Banerjee_,_swati_,INDIAN,F,Germany
18585366_2,_Banerjee_,_Siddharth_,INDIAN,M,India
15312583_4,_Fu_,_Yu_Hong_,CHINESE,-,China
16490169_1,_Fu_,_Yan_,CHINESE,M,China
12816234_3,_Kelly_,_Damien_,ENGLISH,M,Ireland
12589192_1,_Kelly_,_David_,ENGLISH,M,USA
15723916_3,_Kelly_,_david_,ENGLISH,M,UK
15735324_1,_Kelly_,_Danny_,ENGLISH,M,USA
2721198_1,_Kumar_,_pradeep_,INDIAN,M,India
17049709_4,_Kumar_,_Raghu_,INDIAN,M,India
12438089_2,_Kumar_,_Preeti_,INDIAN,F,USA
7938209_1,_Matsumoto_,_hideki_,JAPANESE,M,Japan
14598661_2,_Matsumoto_,_Hideaki_,JAPANESE,M,Japan
258010_1,_Davis_,_Anne_,ENGLISH,F,USA
10217140_1,_Davis_,_April_,ENGLISH,F,USA
2598663_3,_Davis_,_aaron_,ENGLISH,M,USA
3711274_2,_Davis_,_alan_,ENGLISH,M,USA
11332888_2,_Wang_,_Aojin_,CHINESE,-,China
17645874_2,_Wang_,_Anderson_,CHINESE,M,NewZealand
12690197_8,_Wang_,_Alex_,CHINESE,M,USA
2937437_1,_Sum_Chan_,_Wing_,CHINESE,-,UK
12125983_4,_Chan_,_Wai_In_,CHINESE,-,UK
6723155_2,_Reid_,_Spence_,ENGLISH,M,USA
7597666_5,_Reid_,_john_,ENGLISH,M,UK
15407473_1,_REID_,_j_douglas_,ENGLISH,M,USA
6453449_2,_Reid_,_john_,ENGLISH,M,Poland
14551925_2,_Cohen_,_Barbara_,ENGLISH,F,UK
10315676_1,_Cohen_,_barbara_,ENGLISH,F,USA
15783529_1,_Klein_,_Gernot_,GERMAN,M,Germany
16279226_6,_Klein_,_Georg_,GERMAN,M,Germany
9548630_4,_Klein_,_gary_,ENGLISH,M,USA
9037922_6,_Shimada_,_katsuhiko_,JAPANESE,M,Japan
6033507_2,_Russell_,_james_,ENGLISH,M,Canada
7815528_1,_Russell_,_jackie_,ENGLISH,F,USA
16232625_4,_Ogawa_,_Kihachiro_,JAPANESE,-,Japan
14739672_3,_Ogawa_,_Kazuo_,JAPANESE,M,Japan
12184737_3,_Ogawa_,_Kohei_,JAPANESE,M,Japan
9517585_4,_Cooper_,_marie_,ENGLISH,F,UK
4039340_1,_Cooper_,_MARTHA_,ENGLISH,F,USA
9607496_4,_Cooper_,_martin_,ENGLISH,M,USA
16887741_1,_Cooper_,_Marvin_,ENGLISH,M,USA
19385888_1,_Cooper_,_Matthew_,ENGLISH,M,Canada
9097326_3,_Cooper_,_martin_,ENGLISH,M,USA
10341394_5,_Okada_,_Makoto_,JAPANESE,-,Japan
8332130_3,_Okada_,_masayoshi_,JAPANESE,M,Japan
4738946_1,_Ikeda_,_yasuyuki_,JAPANESE,M,Japan
8388467_5,_Ikeda_,_yoshifumi_,JAPANESE,M,Japan
11163956_10,_Ikeda_,_Yuji_,JAPANESE,M,Japan
16835190_2,_Chan_,_Jia_,CHINESE,-,USA
15963855_3,_Chan_,_Jennifer_,ENGLISH,F,USA
16433044_3,_Chan_,_Jack_Kai_Sheng_,CHINESE,M,Taiwan
10892728_8,_Chan_,_jason_,ENGLISH,M,Italy
10402560_1,_Tang_,_Jun_,CHINESE,-,USA
15519986_1,_Tang_,_Jianwu_,CHINESE,M,USA
14606098_4,_Tang_,_Jian_xiong_,CHINESE,-,China
1678898_4,_Tang_,_jianguo_,CHINESE,M,USA
19127860_5,_Tang_,_Jin_Chun_,CHINESE,M,China
10920913_2,_Wu_,_Da_,CHINESE,-,China
17112467_2,_Wu_,_dacheng_,CHINESE,M,USA
18030334_1,_Wu_,_Di_,CHINESE,-,Australia
18681043_1,_Wu_,_Dangxin_,CHINESE,-,USA
18724021_1,_Wu_,_Den_Ko_,CHINESE,-,Taiwan
9055444_1,_Wu_,_dan_,CHINESE,M,UK
2240166_1,_Yang_,_Grace_,CHINESE,F,USA
18478997_3,_Yang_,_Guang_Wu_,CHINESE,-,China
16201376_4,_Yang_,_Guo_nong_,CHINESE,-,China
9419942_3,_Murphy_,_Michael_,ENGLISH,M,UK
10906641_1,_Murphy_,_Michael_,ENGLISH,M,USA
8758210_2,_Murphy_,_molly_,ENGLISH,F,UK
9597571_14,_Murphy_,_Mary_,ENGLISH,F,USA
1767941_1,_Murphy_,_Mary_,ENGLISH,F,USA
18284277_3,_Murphy_,_Martin_,ENGLISH,M,USA
2559163_2,_Murphy_,_michael_,ENGLISH,M,USA
11324423_2,_Huang_,_Zheng_Ming_,CHINESE,M,China
9964638_2,_Huang_,_Zhenguo_,CHINESE,-,China
12234149_3,_Huang_,_Zuliu_,CHINESE,-,China
15151841_1,_Huang_,_Zou_q_,CHINESE,-,China
9583461_1,_Huang_,_ziyang_,CHINESE,M,Japan
498830_1,_Williams_,_Paul_,ENGLISH,M,USA
10997055_3,_Williams_,_Paul_,ENGLISH,M,USA
233697_5,_Williams_,_phyllis_,ENGLISH,F,USA
1333737_6,_Williams_,_princess_,ENGLISH,F,USA
8624962_1,_Williams_,_Peter_,ENGLISH,M,UK
11471677_4,_Williams_,_paul_,ENGLISH,M,SouthAfrica
11600242_2,_Williams_,_phillip_,ENGLISH,M,USA
8412065_3,_King_,_Jy_Kung_,CHINESE,M,USA
4380802_2,_King_,_james_,ENGLISH,M,USA
8813416_2,_King_,_Joseph_,ENGLISH,M,USA
416170_5,_King_,_joseph_,ENGLISH,M,USA
9882567_8,_King_,_joseph_,ENGLISH,M,USA
13114815_2,_KING_,_joseph_,ENGLISH,M,USA
19156679_1,_King_,_Joanne_,ENGLISH,F,Australia
8573616_3,_King_,_jennifer_,ENGLISH,F,USA
15919233_3,_Jones_,_Greg_,ENGLISH,M,USA
10985546_3,_Jones_,_Graeme_,ENGLISH,M,UK
6083326_1,_Jones_,_george_,ENGLISH,M,USA
16661173_2,_Alexander_,_Jon_,ENGLISH,M,USA
9462764_4,_Alexander_,_john_,ENGLISH,M,USA
5000725_1,_Anderson_,_Clark_,ENGLISH,M,USA
16536749_2,_Anderson_,_Christopher_,ENGLISH,M,UK
16000482_4,_Anderson_,_Clint_,ENGLISH,M,USA
18133383_2,_ANDERSON_,_carl_,ENGLISH,M,USA
7297640_2,_Anderson_,_carol_,ENGLISH,F,USA
12237708_3,_Gang_Shen_,_Yun_,CHINESE,-,China
15548583_2,_Shen_,_Yuan_,CHINESE,M,USA
18052097_3,_Shen_,_Yi_Jane_,CHINESE,F,Taiwan
16955791_1,_Shen_,_Yu_,CHINESE,-,China
8184536_1,_Liu_,_qingquan_,CHINESE,M,Canada
15104283_4,_Liu_,_Qiong_,CHINESE,F,USA
11975259_1,_Edwards_,_julie_,ENGLISH,F,UK
12815308_5,_Edwards_,_Janet_,ENGLISH,F,Canada
15241745_2,_Edwards_,_John_,ENGLISH,M,USA
15741150_3,_Edwards_,_Justine_,ENGLISH,F,Australia
8490619_6,_Brown_,_garry_,ENGLISH,M,UK
16962817_1,_Brown_,_Gavin_,ENGLISH,M,UK
11511966_2,_Brown_,_george_,ENGLISH,M,USA
16428230_2,_Brown_,_Gidget_,ENGLISH,F,USA
811187_1,_Brown_,_george_,ENGLISH,M,USA
9339906_2,_Kim_,_Wang_Joon_,KOREAN,-,Korea
10196570_2,_Kim_,_woojin_,KOREAN,M,USA
3282254_2,_Wilson_,_Stephanie_,ENGLISH,F,Canada
14336868_2,_Wilson_,_stanley_,ENGLISH,M,USA
16224970_1,_Ray_Wilson_,_Steven_,ENGLISH,M,Norway
15471873_3,_Wilson_,_Sandra_,ENGLISH,F,Canada
17102366_1,_Wilson_,_Shona_,ENGLISH,F,NewZealand
10993093_4,_Wilson_,_sandy_,ENGLISH,F,France
11823883_3,_Wilson_,_SYLVIA_,ENGLISH,F,Canada
14672100_1,_Wilson_,_Steffen_Pope_,GERMAN,M,USA
15345647_2,_Wilson_,_Stephen_,ENGLISH,M,Australia
11681250_2,_Hayashi_,_Yasuo_,JAPANESE,M,Japan
9706848_1,_Hayashi_,_Yukiko_,JAPANESE,F,Japan
11517233_1,_Hayashi_,_yuichiro_,JAPANESE,M,Japan
15170550_10,_Hayashi_,_Yoshimitsu_,JAPANESE,M,Japan
12168099_6,_Hayashi_,_Yukio_,JAPANESE,M,Japan
7854968_4,_Hayashi_,_yoshiyuki_,JAPANESE,M,Japan
17032644_5,_Kang_,_Song_,CHINESE,-,USA
17213004_9,_Woo_Kang_,_Seoung_,KOREAN,-,Korea
18774637_4,_Kang_,_Soyeong_,KOREAN,-,Korea
8798176_1,_Yu_,_Yan_,CHINESE,M,USA
15044725_2,_Yu_,_Yonghao_,CHINESE,M,USA
7324959_1,_Yu_,_Yuan_Xun_,CHINESE,M,China
12541766_1,_Yu_,_Yongqiang_,CHINESE,-,China
16053733_5,_Yu_,_Ye_heng_,CHINESE,-,China
15362186_3,_Yu_,_Yong_Ping_,CHINESE,M,China
11940365_5,_Yu_,_Youzhi_,CHINESE,F,China
15487512_6,_Yu_,_Ye_Fei_,CHINESE,-,China
17518504_3,_Yu_,_Ya_Wen_,CHINESE,-,Taiwan
10219801_1,_Yamada_,_Yoshiya_,JAPANESE,M,USA
12403909_1,_Yamada_,_Yohko_,JAPANESE,F,Japan
2253348_2,_Yamada_,_yasuko_,JAPANESE,F,Japan
8870881_2,_Fujita_,_Toshiharu_,JAPANESE,M,Japan
9479636_3,_Fujita_,_toshiro_,JAPANESE,M,Japan
7861674_1,_Fujita_,_Tetsuya_,JAPANESE,M,Japan
8225776_7,_Fujita_,_toshio_,JAPANESE,M,Japan
992261_1,_Fujita_,_tsuneo_,JAPANESE,M,Japan
17356807_5,_Chen_,_Ping_Tsung_,CHINESE,-,Taiwan
8935415_1,_Chen_,_Pei_Chyi_,CHINESE,-,Taiwan
15269539_3,_Ki_Choi_,_Sang_Ki_,KOREAN,M,Korea
18535171_5,_Choi_,_Sangzin_,KOREAN,-,Korea
15588776_2,_Joo_Park_,_Kyoung_,KOREAN,-,Korea
9963737_1,_Park_,_kwangho_,KOREAN,M,Korea
11771706_7,_Bae_Park_,_Kyoung_,KOREAN,-,Korea
16352867_11,_Hyang_Park_,_Kyun_,KOREAN,-,Korea
19593428_3,_Martin_,_Mathieu_,FRENCH,M,Spain
4829784_4,_Matsumoto_,_koji_,JAPANESE,M,Japan
10995964_6,_Matsumoto_,_kenichi_,JAPANESE,M,Japan
9916412_7,_Matsumoto_,_Kaoru_,JAPANESE,-,Japan
10063145_7,_Matsumoto_,_Kosai_,JAPANESE,-,Japan
8591115_2,_Matsumoto_,_kazunori_,JAPANESE,M,Japan
2208435_1,_Feng_Huang_,_He_,CHINESE,-,China
11762855_1,_Huang_,_Her_Hsiung_,CHINESE,F,Taiwan
12757759_3,_Huang_,_Huang_,CHINESE,-,China
17294514_7,_Huang_,_Hai_Qiang_,CHINESE,M,China
15587433_2,_Huang_,_Hui_,CHINESE,-,USA
16836897_1,_Huang_,_Hui_,CHINESE,-,China
18315545_4,_Huang_,_Hongjie_,CHINESE,-,China
18422555_5,_Huang_,_Huashan_,CHINESE,-,China
12232614_2,_Huang_,_Hua_,CHINESE,-,China
17354103_11,_Zhang_,_Cun_,CHINESE,F,China
12670024_2,_Zhang_,_Chun_,CHINESE,-,USA
16341574_5,_Zhang_,_Chunling_,CHINESE,F,China
17241069_1,_Zhang_,_Chunfu_,CHINESE,-,Germany
15540137_2,_Zhang_,_Changzheng_,CHINESE,M,China
17064548_2,_Zhang_,_Chang_Yong_,CHINESE,M,China
17107217_1,_Zhang_,_Chenfeng_,CHINESE,-,USA
17707909_5,_Zhang_,_Chongxin_,CHINESE,-,China
18160712_3,_Zhang_,_Chenghai_,CHINESE,M,USA
19491459_2,_Zhang_,_Chunpeng_,CHINESE,-,China
3300964_1,_Cohen_,_justin_,ENGLISH,M,USA
18625464_2,_Cohen_,_jeffrey_,ENGLISH,M,USA
41966_1,_Cohen_,_jordan_,ENGLISH,M,USA
10072640_3,_Cohen_,_jacques_,FRENCH,M,USA
1656734_7,_Cohen_,_jacques_,FRENCH,M,France
7726828_4,_Nakamura_,_Michio_,JAPANESE,M,Japan
11577396_3,_Nakamura_,_Munetomo_,JAPANESE,-,Japan
3835255_3,_Nakamura_,_masahiro_,JAPANESE,M,Japan
4468818_2,_Nakamura_,_michio_,JAPANESE,M,Japan
5462726_3,_Nakamura_,_masao_,JAPANESE,M,Japan
12684981_6,_Nakamura_,_Minoru_,JAPANESE,M,Japan
7522577_2,_Nakamura_,_masashi_,JAPANESE,M,Japan
14974817_4,_Nakamura_,_Masahiro_,JAPANESE,M,Japan
7300055_3,_Suzuki_,_shinichi_,JAPANESE,M,Japan
8205741_9,_Suzuki_,_Seiji_,JAPANESE,M,Japan
7157832_3,_Suzuki_,_shinichi_,JAPANESE,M,Japan
9412911_9,_Suzuki_,_Shinji_,JAPANESE,M,Japan
10216078_10,_Suzuki_,_Shuzo_,JAPANESE,M,Japan
12596856_1,_Suzuki_,_Shun_ichi_,JAPANESE,M,Japan
6713133_4,_Suzuki_,_shizuo_,JAPANESE,M,Japan
9456461_6,_Suzuki_,_shosuke_,JAPANESE,M,Japan
10849535_4,_Suzuki_,_Sozo_,JAPANESE,-,Japan
9793965_7,_Suzuki_,_Shinichiro_,JAPANESE,M,Japan
14980661_2,_Suzuki_,_Sayaka_,JAPANESE,F,Japan
17125867_5,_Suzuki_,_Shoko_,JAPANESE,F,Japan
17789637_1,_Suzuki_,_Sakae_,JAPANESE,-,USA
18613443_3,_Suzuki_,_Syuuichiro_,JAPANESE,-,Japan
2178009_2,_Wai_Lee_,_Tak_,CHINESE,-,HongKong
9374918_2,_Lee_,_Tien_Ling_,CHINESE,-,Taiwan
6957896_1,_Lee_,_tyrone_,ENGLISH,M,Canada
17317348_4,_Lee_,_Tian_Shyug_,CHINESE,-,Taiwan
16857158_2,_Lee_,_Tek_Hyung_,KOREAN,M,Korea
6822967_2,_Bemis_Miller_,_Diane_,ENGLISH,F,USA
2104823_1,_Miller_,_Douglas_,ENGLISH,M,USA
3100592_1,_Miller_,_david_,ENGLISH,M,USA
2880217_3,_Miller_,_david_,ENGLISH,M,UK
11032126_2,_Miller_,_David_,ENGLISH,M,USA
11247721_1,_Miller_,_Debra_,ENGLISH,F,USA
8129094_10,_Miller_,_Dennis_,ENGLISH,M,USA
16872077_3,_Miller_,_DeWitt_,ENGLISH,M,USA
2890899_1,_Miller_,_daniel_,ENGLISH,M,USA
10585620_3,_Miller_,_debbie_,ENGLISH,F,USA
11106032_1,_Miller_,_dawn_,ENGLISH,F,Netherlands
15357034_1,_Miller_,_David_,ENGLISH,M,USA
17114542_4,_Miller_,_David_,ENGLISH,M,USA
17303040_1,_Miller_,_Daniel_,ENGLISH,M,USA
3138385_3,_Miller_,_david_,ENGLISH,M,USA
9690389_5,_Huang_,_Cheng_Long_,CHINESE,M,Japan
11856505_4,_Huang_,_Chun_,CHINESE,-,China
17698513_2,_Huang_,_Chorng_Chih_,CHINESE,-,Taiwan
8061358_1,_Huang_,_Cheng_,CHINESE,M,Australia
16875732_1,_Huang_,_Chun_Pin_,CHINESE,-,Taiwan
9460582_1,_Huang_,_conway_,CHINESE,M,USA
3274085_3,_Nakamura_,_Tatsuya_,JAPANESE,M,USA
6938305_2,_Nakamura_,_Toru_,JAPANESE,M,Japan
14516603_7,_Nakamura_,_Toshitaka_,JAPANESE,M,USA
3382230_4,_Nakamura_,_takashi_,JAPANESE,M,Japan
2833546_3,_Nakamura_,_Toshiyuki_,JAPANESE,M,Japan
10225901_2,_Nakamura_,_Takayuki_,JAPANESE,M,Japan
10417531_4,_Nakamura_,_tomoko_,JAPANESE,F,Japan
9701623_3,_Nakamura_,_toshitaka_,JAPANESE,M,Japan
11317239_3,_Nakamura_,_tomohiko_,JAPANESE,M,Japan
18595854_4,_Nakamura_,_Tetsurou_,JAPANESE,M,Japan
18848920_2,_Nakamura_,_Touko_,JAPANESE,F,Japan
10751555_1,_Chou_Chen_,_Yen_,CHINESE,-,Taiwan
15147978_1,_Chen_,_Yin_,CHINESE,-,China
12887772_5,_Chen_,_Yi_Fa_,CHINESE,-,China
14550275_1,_Chen_,_Ya_Huey_,CHINESE,M,Taiwan
12475438_1,_Chen_,_Yifeng_,CHINESE,-,China
19488321_6,_Chen_,_Yi_,CHINESE,-,China
16778135_6,_Chih_Chen_,_Yung_,CHINESE,-,Germany
11331992_3,_Chen_,_Yu_Kang_,CHINESE,-,Taiwan
14599359_1,_Chen_,_Yangde_,CHINESE,-,USA
12865817_2,_Chen_,_Yifa_,CHINESE,-,USA
11776328_1,_Qun_Chen_,_Yan_,CHINESE,M,USA
12413724_3,_Chen_,_Yumei_,CHINESE,F,China
15186130_1,_Chen_,_Yumin_,CHINESE,F,USA
17902620_2,_Chen_,_Yih_Shyuan_,CHINESE,-,Taiwan
19193728_2,_Chen_,_Yunzi_,CHINESE,-,USA
17259556_4,_Chen_,_Yucai_,CHINESE,-,USA
16042313_1,_Chen_,_Yuan_Yuan_,CHINESE,M,Canada
18771417_2,_Chen_,_Yong_juan_,CHINESE,M,China
15074890_4,_Chen_,_Yi_Hsin_Sidney_,CHINESE,-,Taiwan
11939739_4,_Chen_,_Yue_hua_,CHINESE,-,Taiwan
12829396_4,_Chen_,_Yan_,CHINESE,M,China
14724137_5,_Chen_,_Yily_,CHINESE,-,Japan
14724634_3,_Chen_,_Yang_,CHINESE,-,USA
15015827_1,_Chen_,_Yung_Hsueh_,CHINESE,-,Taiwan
15299102_1,_Chen_,_Ying_Kai_,CHINESE,M,Taiwan
15865047_2,_Chen_,_Ying_Chun_,CHINESE,-,Taiwan
16303061_3,_Chen_,_Yenfong_,CHINESE,-,USA
16479009_7,_Chen_,_Youting_,CHINESE,-,USA
17826364_1,_Chen_,_Yong_,CHINESE,-,USA
18206522_5,_Chen_,_Yu_Chang_,CHINESE,M,USA
18239651_3,_Chen_,_Yiling_,CHINESE,F,USA
18270088_3,_Qiu_Chen_,_Yan_,CHINESE,M,China
18789998_3,_Chen_,_Yung_Tin_,CHINESE,-,Taiwan
19080100_1,_Chen_,_Yi_song_,CHINESE,-,China
19353863_4,_Chen_,_Yun_zeng_,CHINESE,-,China
19527489_3,_Chen_,_Yihsu_,CHINESE,-,USA
9422056_4,_Chen_,_yan_,CHINESE,M,USA
15510627_2,_Wang_,_Jiadong_,CHINESE,-,China
15065261_1,_Wang_,_Jiun_Jie_,CHINESE,-,Taiwan
15645076_3,_Wang_,_Jian_,CHINESE,-,China
1681023_3,_Wang_,_Jui_Long_,CHINESE,-,Taiwan
16108480_2,_Mei_Wang_,_Jian_Mei_,CHINESE,F,China
16374509_3,_Wang_,_Jing_Huan_,CHINESE,M,Finland
16196281_7,_Wang_,_Jianjun_,CHINESE,M,China
9107431_4,_Wang_,_jia_sheng_,CHINESE,M,China
12555895_3,_Wang_,_Jin_Yong_,CHINESE,M,China
12487926_5,_Wang_,_Jian_,CHINESE,-,China
8444906_1,_Wang_,_Jianlei_,CHINESE,-,USA
12521289_2,_Wang_,_Jiann_Ming_,CHINESE,-,USA
15896485_5,_Wang_,_Jianhui_,CHINESE,-,China
18573336_9,_Wang_,_JinXu_,CHINESE,-,China
16724748_3,_Wang_,_Jing_,CHINESE,-,China
15125621_3,_Wang_,_Jen_Ting_,CHINESE,-,USA
12600050_1,_Wang_,_Jin_,CHINESE,-,China
18178446_13,_Wang_,_Jun_,CHINESE,-,China
19361438_1,_Wang_,_Jingting_,CHINESE,-,USA
8550782_2,_Wang_,_jennifer_,ENGLISH,F,USA
10987734_1,_Wang_,_jennifer_,ENGLISH,F,USA
12714607_1,_Wang_,_Jing_,CHINESE,-,UK
