AUID,Last,First,Ethnea,Genni,PubCountry
10376155_4,_Cetin_Atalay_,_Rengul_Cetin_,TURKISH,M,Turkey
15922350_1,_Montes_Atenas_,_Gonzalo_,HISPANIC,M,France
9158253_2,_Athanasiadis_,_Loukas_,GREEK,M,Greece
10996480_3,_Laranja_,_Gustavo_,HISPANIC,M,Brazil
3180503_2,_Vega_Avila_,_Elisa_,HISPANIC,F,Mexico
1127122_2,_Axt_Fliedner_,_Roland_,GERMAN,M,Germany
10028870_3,_Aygun_,_Canan_,TURKISH,F,Turkey
7241169_3,_Ayuso_Sacido_,_Angel_,HISPANIC,M,Spain
12799569_1,_Baatenburg_de_Jong_,_Rianne_,DUTCH,F,Netherlands
15606141_1,_Backman_,_Josefin_,NORDIC,F,Finland
11330373_3,_Girela_Baena_,_Enrique_,HISPANIC,M,Spain
2206517_2,_Baggesen_,_Dorte_Lau_,NORDIC,F,Denmark
17792177_5,_Humphry_Baker_,_Robin_,ENGLISH,-,Switzerland
11447122_3,_Balada_Llasat_,_Joan_Miquel_,HISPANIC,M,USA
12144045_3,_Claudir_Balan_,_Antonio_,HISPANIC,M,Brazil
10030158_1,_Banque_,_Montserrat_,HISPANIC,F,Spain
8372557_2,_Bany_Laszewicz_,_Urszula_,SLAV,F,Poland
7880093_2,_Banya_,_Winston_,AFRICAN,M,Gambia
16360893_1,_Erika_Banziger_Tobler_,_Nadja_,GERMAN,F,Switzerland
11573990_1,_Barbado_,_Maria_Victoria_,HISPANIC,F,Spain
11190388_2,_Barbosa_Brochini_,_Claudia_,HISPANIC,F,Brazil
13632804_3,_Barbosa_Domont_,_Gilberto_,HISPANIC,M,Brazil
5767055_4,_Barclay_,_Robin_,ENGLISH,-,UK
2084259_1,_Barile_Fabris_,_Leonor_,HISPANIC,F,Mexico
2015197_3,_Svegliati_Baroni_,_Gianluca_,ITALIAN,M,Italy
2059349_2,_Werneck_Barroso_,_Eduardo_,HISPANIC,M,Brazil
10638989_1,_Barshishat_Kupper_,_Michal_,GERMAN,M,USA
7826320_2,_Basselin_Eiweida_,_Mireille_,FRENCH,F,USA
10506110_3,_Bassonga_,_Euphemie_,FRENCH,F,France
4029105_1,_Baumann_,_Linda_Ciofu_,GERMAN,F,USA
4138749_1,_Bedi_,_Kuldip_,INDIAN,-,Australia
12800674_3,_Lu_,_Beibei_,CHINESE,-,China
18539560_3,_Belanger_Trudelle_,_Emilie_,FRENCH,F,Canada
10510257_2,_Belarmino_Filho_,_Jose_Nelson_,HISPANIC,M,Brazil
15981863_1,_Bellardine_Black_,_Carissa_,ENGLISH,F,USA
7716283_3,_Luz_Bellido_,_Mari_,HISPANIC,F,Spain
13877058_2,_Beltran_de_Heredia_,_Jose_,HISPANIC,M,Spain
16751968_2,_Beltran_Rosas_,_Juana_,HISPANIC,F,Brazil
17048914_1,_Ben_Yosef_,_Guy_,ISRAELI,M,Israel
17173801_4,_Benabarre_Ciria_,_Sergio_,HISPANIC,M,Spain
15725017_2,_Bendova_Biedermannova_,_Lada_,SLAV,F,CzechRepublic
1428564_1,_Beneyto_Martin_,_Pedro_,HISPANIC,M,Spain
10917099_4,_Benlier_,_Erol_,TURKISH,M,Turkey
13679322_3,_Bensler_,_Michael_,GERMAN,M,USA
12003736_5,_Nicolas_Benticuaga_Martinez_,_Maria_,HISPANIC,F,Spain
8533755_1,_Beraud_Colomb_,_Eliane_,FRENCH,F,France
9618815_6,_Turan_Berki_,_Kamil_,TURKISH,M,Turkey
3036502_3,_Carlos_Lopez_Bernaldo_De_Quiros_,_Juan_,HISPANIC,M,Spain
2090198_2,_Berney_,_Thierry_,FRENCH,M,Switzerland
2002553_5,_Berry_,_Michael_,ENGLISH,M,USA
12472644_2,_Bersabe_Moran_,_Rosa_,HISPANIC,F,Spain
2020926_1,_Besnard_Guerin_,_Corinne_,FRENCH,F,France
1191654_1,_van_Best_,_Jaap_,DUTCH,M,Netherlands
12133319_3,_Rong_Dong_,_Bi_,CHINESE,-,China
17587785_2,_Wu_,_Bian_,CHINESE,-,USA
10455295_2,_d_Emmanuele_di_Villa_Bianca_,_Roberta_,ITALIAN,F,Italy
2332331_2,_Bianchi_Marzoli_,_Stefania_,ITALIAN,F,Italy
8039287_2,_Chieco_Bianchi_,_Fulvia_,ITALIAN,F,Italy
10975749_3,_Del_Bianco_,_Paola_,ITALIAN,F,Italy
2004619_1,_Carvalho_Bianco_,_Suzy_,HISPANIC,F,USA
17975641_2,_Binfeng_,_Yun_,CHINESE,-,China
10752730_1,_Gl_Biondi_Zoccai_,_Giuseppe_,ITALIAN,M,Italy
17475572_7,_Pavinski_Bitar_,_Paulina_,HISPANIC,F,USA
725171_3,_Blade_Creixenti_,_Jordi_,HISPANIC,M,Spain
2474281_1,_Cinta_Blade_,_Maria_,HISPANIC,F,Spain
10009259_2,_Angel_Blanco_Gelaz_,_Miguel_,HISPANIC,M,Spain
4551989_2,_Lapidus_,_leah_,ENGLISH,F,USA
8860030_3,_Bodur_,_Haluk_,TURKISH,M,Turkey
11748101_1,_Boekholdt_,_Matthijs_,DUTCH,M,Netherlands
12499769_3,_Bogris_,_Konstantinos_,GREEK,M,Greece
378615_5,_Bonanno_,_Giacomo_,ITALIAN,M,Italy
4256143_2,_Bonciani_Nader_,_Helena_,HISPANIC,F,Brazil
3603856_4,_Bonde_Jensen_,_Anders_,NORDIC,M,Denmark
8222099_1,_van_den_Bos_,_Arjan_,DUTCH,M,Netherlands
15659168_3,_Bosgelmez_Tinaz_,_Gulgun_,TURKISH,F,Turkey
8465027_2,_Manuel_Bozada_Garcia_,_Juan_,HISPANIC,M,Spain
1228439_4,_Bozzola_,_Mauro_,ITALIAN,M,Italy
3784303_2,_Braam_,_Branko_,DUTCH,M,Netherlands
15186711_2,_Brown_Bradley_,_Courtney_,ENGLISH,-,USA
12062110_1,_Das_Bradoo_,_Sapna_,INDIAN,F,Sweden
15331358_7,_Brandao_Nogueira_,_Ana_,HISPANIC,F,Portugal
4254850_1,_Nogueira_,_J_Braz_,HISPANIC,-,Portugal
9862197_1,_Brena_Valle_,_Matilde_,HISPANIC,F,Mexico
17307269_2,_Briggiler_Marco_,_Mariangeles_,HISPANIC,F,Argentina
16835402_2,_Brink_Elfegoun_,_Thibault_,FRENCH,M,Sweden
11545250_2,_Grootte_Bromhaar_,_Mechteld_,DUTCH,F,Netherlands
4571549_1,_Harlem_Brundtland_,_Gro_,NORDIC,F,Switzerland
673810_4,_Brunet_Guedj_,_Elisabeth_,FRENCH,F,France
7071667_3,_Bryant_,_Timothy_,ENGLISH,M,Canada
10872594_1,_Nevins_Buchanan_,_Stacey_,ENGLISH,F,USA
12699382_5,_Vondrackova_Buchtelova_,_Eva_,SLAV,F,CzechRepublic
